,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
103,103,-888.0,2021-12-16 13:04:03.052404,2021-12-16 13:09:31.347753,0 days 00:05:28.295349,relu,16,0.1,8.165736424003187e-07,0.8,0.99,0.01089954019301214,0.7,5,512,medium,0.7869192164835661,COMPLETE
104,104,-1090.0,2021-12-16 13:09:31.361223,2021-12-16 13:14:25.332474,0 days 00:04:53.971251,relu,256,0.1,0.0047697723755574335,1.0,0.9999,0.1588691375475861,5.0,10,64,medium,0.6562463248849424,COMPLETE
105,105,-976.0,2021-12-16 13:14:25.346123,2021-12-16 13:16:30.723179,0 days 00:02:05.377056,relu,128,0.4,3.2744079761244257e-07,0.8,0.95,0.42172248168933146,1.0,20,256,medium,0.8450487401162835,PRUNED
106,106,-660.0,2021-12-16 13:16:30.727880,2021-12-16 13:17:53.242402,0 days 00:01:22.514522,relu,64,0.3,0.017527561275368832,0.92,0.9,0.7398066067636445,0.7,1,8,small,0.687367072184078,COMPLETE
107,107,-1264.0,2021-12-16 13:17:53.255978,2021-12-16 13:51:15.103033,0 days 00:33:21.847055,relu,8,0.1,3.1662563107393105e-06,0.98,0.999,0.06795138998008353,0.8,20,16,medium,0.8240716663207315,COMPLETE
108,108,-250000.0,2021-12-16 13:51:15.116835,2021-12-16 13:52:48.277045,0 days 00:01:33.160210,tanh,16,0.1,0.034315185826465075,0.99,0.995,0.22048891329312506,5.0,5,1024,medium,0.7331620606987085,PRUNED
109,109,636.0,2021-12-16 13:52:48.281901,2021-12-16 14:00:06.712362,0 days 00:07:18.430461,relu,128,0.4,0.009983274647661557,0.9,0.9999,0.1221076828454049,2.0,20,128,medium,0.6427367780981138,COMPLETE
110,110,-250000.0,2021-12-16 14:00:06.725963,2021-12-16 14:00:37.097291,0 days 00:00:30.371328,relu,128,0.4,0.05105454384145453,0.9,0.9999,0.1293562773973546,2.0,1,128,medium,0.9024997154327404,PRUNED
111,111,-374.0,2021-12-16 14:00:37.101923,2021-12-16 14:07:57.073080,0 days 00:07:19.971157,relu,128,0.4,0.010141112355129454,0.9,0.9999,0.025801539645047913,2.0,20,128,medium,0.6387902907079557,COMPLETE
112,112,-250000.0,2021-12-16 14:07:57.086432,2021-12-16 14:10:21.248991,0 days 00:02:24.162559,relu,128,0.4,0.019614669728249382,0.9,0.9999,0.31556241656414075,2.0,20,128,medium,0.6095038782340187,PRUNED
113,113,-62.0,2021-12-16 14:10:21.253646,2021-12-16 14:17:36.993014,0 days 00:07:15.739368,relu,128,0.4,5.570535470049259e-07,0.9,0.9999,0.08766461747513941,2.0,20,128,medium,0.7053207208878276,COMPLETE
