,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
62,62,-250000.0,2021-12-11 19:06:28.507652,2021-12-11 19:08:13.059998,0 days 00:01:44.552346,8,0.2,8.741419270467961e-08,0.8,0.9999,0.3559692106699387,0.8,5,64,0.5130301359679245,PRUNED
63,63,-302.0,2021-12-11 19:08:13.075955,2021-12-11 19:09:53.683850,0 days 00:01:40.607895,8,0.2,0.02650573200075648,0.9,0.9999,0.03798761711163982,0.8,5,64,0.5904680574214595,PRUNED
64,64,-250000.0,2021-12-11 19:09:53.697814,2021-12-11 19:11:47.697887,0 days 00:01:54.000073,128,0.2,1.7172559453496397e-08,0.8,0.98,0.9777117679689531,5.0,5,8,0.7195357019900053,PRUNED
65,65,-1424.0,2021-12-11 19:11:47.713845,2021-12-11 19:14:45.781552,0 days 00:02:58.067707,512,0.3,0.07097344887998712,0.99,0.9,0.06270610421606736,1.0,20,16,0.6224278975599193,PRUNED
66,66,-720.0,2021-12-11 19:14:45.796512,2021-12-11 19:15:20.623359,0 days 00:00:34.826847,256,0.2,0.010740206476484099,1.0,0.98,0.12556612977257006,0.3,5,128,0.3188879619964988,PRUNED
67,67,-1108.0,2021-12-11 19:15:20.638318,2021-12-11 19:16:31.500776,0 days 00:01:10.862458,64,0.3,0.004003929707718675,0.9,0.99,0.011599758485435256,5.0,20,64,0.6787666679651044,PRUNED
68,68,-392.0,2021-12-11 19:16:31.515736,2021-12-11 19:17:03.915075,0 days 00:00:32.399339,512,0.4,0.00010358134495626811,0.98,0.95,0.02472266724259642,0.9,5,256,0.851571433393419,PRUNED
69,69,-918.0,2021-12-11 19:17:03.930035,2021-12-11 19:22:21.111643,0 days 00:05:17.181608,8,0.1,9.942640223396783e-06,0.8,0.9999,0.002845369632064801,0.8,20,8,0.5604035554943378,PRUNED
70,70,-250000.0,2021-12-11 19:22:21.127600,2021-12-11 19:23:03.670806,0 days 00:00:42.543206,128,0.4,0.0014182276060276072,0.9,0.98,0.000618499416289764,0.7,10,512,0.08374572701053878,PRUNED
71,71,-642.0,2021-12-11 19:23:03.688758,2021-12-11 19:25:58.667727,0 days 00:02:54.978969,16,0.3,3.057404845608476e-08,0.98,0.99,0.0014593410259427218,1.0,20,16,0.9901278203988166,PRUNED
72,72,-410.0,2021-12-11 19:25:58.682687,2021-12-11 19:28:54.665970,0 days 00:02:55.983283,16,0.3,7.969301967848301e-08,0.98,0.99,0.0010392609822295778,1.0,20,16,0.9247282279676828,PRUNED
73,73,-250000.0,2021-12-11 19:28:54.680930,2021-12-11 19:31:19.365929,0 days 00:02:24.684999,16,0.3,2.178836451547546e-08,0.98,0.99,0.0003396876715261448,1.0,20,2048,0.3741779895662661,PRUNED
74,74,-630.0,2021-12-11 19:31:19.380889,2021-12-11 19:34:16.692618,0 days 00:02:57.311729,16,0.3,1.0398151478137168e-07,0.98,0.995,0.0045630185470357095,2.0,20,16,0.9310806710381128,PRUNED
75,75,-97044.0,2021-12-11 19:34:16.712565,2021-12-11 19:34:46.548759,0 days 00:00:29.836194,256,0.3,9.686056089069859e-07,1.0,0.9,0.007805395788642648,0.5,1,256,0.5149465747204639,PRUNED
76,76,-976.0,2021-12-11 19:34:46.565714,2021-12-11 19:36:34.464109,0 days 00:01:47.898395,512,0.1,4.448122098549044e-08,0.92,0.999,0.0006869469230767444,5.0,5,8,0.4641758027961115,PRUNED
77,77,-708.0,2021-12-11 19:36:34.481064,2021-12-11 19:38:18.191660,0 days 00:01:43.710596,64,0.2,1.0446169512662568e-08,0.95,0.99,0.00014125852030246887,0.9,20,32,0.6105089735833481,PRUNED
78,78,-546.0,2021-12-11 19:38:18.208615,2021-12-11 19:39:02.651739,0 days 00:00:44.443124,32,0.3,0.032165088614071344,0.9,0.95,0.0023930503277626997,0.8,5,1024,0.8696230266154575,PRUNED
79,79,-250000.0,2021-12-11 19:39:02.666699,2021-12-11 19:40:16.857256,0 days 00:01:14.190557,128,0.4,0.061952841303620346,0.98,0.98,0.2709423337089554,5.0,20,64,0.4013540821009318,PRUNED
80,80,-250000.0,2021-12-11 19:40:16.873213,2021-12-11 19:41:03.719908,0 days 00:00:46.846695,256,0.1,0.01920206080802281,0.99,0.9,1.9456551830452652e-05,0.6,20,256,0.8078338744088633,PRUNED
81,81,-250000.0,2021-12-11 19:41:03.736863,2021-12-11 19:44:09.370333,0 days 00:03:05.633470,512,0.2,0.09008985309535124,0.8,0.9,0.015369846909010719,0.3,10,8,0.6010824365588774,PRUNED
82,82,-1084.0,2021-12-11 19:44:09.386291,2021-12-11 19:47:10.993531,0 days 00:03:01.607240,512,0.2,0.04648682332907153,1.0,0.9,0.041939093860930955,0.3,10,8,0.651782731263044,PRUNED
83,83,-400.0,2021-12-11 19:47:11.008492,2021-12-11 19:50:11.568532,0 days 00:03:00.560040,512,0.2,1.8511859767417674e-07,0.8,0.9,0.008116597080421669,0.3,10,8,0.4322285264995871,PRUNED
84,84,-250000.0,2021-12-11 19:50:11.582494,2021-12-11 19:53:16.189710,0 days 00:03:04.607216,512,0.2,0.02708116262756505,0.8,0.99,0.003932156647853566,0.9,10,8,0.705448400173713,PRUNED
85,85,-1294.0,2021-12-11 19:53:16.209656,2021-12-11 19:54:26.966397,0 days 00:01:10.756741,64,0.4,0.05463606906651116,0.8,0.98,0.011963395878622619,0.8,5,16,0.5508897357436483,PRUNED
86,86,-690.0,2021-12-11 19:54:26.983352,2021-12-11 19:57:11.753627,0 days 00:02:44.770275,16,0.3,0.007279419183807359,0.98,0.95,0.08193182667709045,0.7,20,1024,0.5735063836791575,PRUNED
87,87,-1456.0,2021-12-11 19:57:11.768587,2021-12-11 19:57:43.839803,0 days 00:00:32.071216,128,0.4,3.295872880402162e-05,0.9,0.9,0.029601327199373036,1.0,1,64,0.5228441192305747,PRUNED
88,88,-250000.0,2021-12-11 19:57:43.855761,2021-12-11 19:58:29.625337,0 days 00:00:45.769576,512,0.1,0.015668730103008878,0.98,0.9999,0.6321116388550445,0.3,10,128,0.7556658461176623,PRUNED
89,89,-524.0,2021-12-11 19:58:29.644286,2021-12-11 20:03:48.925279,0 days 00:05:19.280993,8,0.3,1.3231561234765644e-05,0.8,0.9,0.02147688815092047,5.0,20,256,0.48340644960316526,PRUNED
90,90,-504.0,2021-12-11 20:03:48.941237,2021-12-11 20:05:38.451319,0 days 00:01:49.510082,256,0.2,0.0003979404614926635,0.98,0.995,0.0017448996040289333,0.9,5,8,0.2619055521158836,PRUNED
91,91,-249794.0,2021-12-11 20:05:38.467277,2021-12-11 20:06:33.999740,0 days 00:00:55.532463,256,0.2,1.4228425197463128e-06,0.8,0.9,1.8936867818989395e-05,0.9,20,128,0.6782655623010184,PRUNED
92,92,-146546.0,2021-12-11 20:06:34.015698,2021-12-11 20:07:16.071207,0 days 00:00:42.055509,256,0.2,3.9512461950563656e-07,0.8,0.9,6.182462588017943e-05,0.9,20,2048,0.6329286044772238,PRUNED
93,93,-800.0,2021-12-11 20:07:16.087165,2021-12-11 20:08:08.787204,0 days 00:00:52.700039,256,0.2,5.826593244750157e-08,0.8,0.9,0.0073435295718452176,0.9,20,128,0.6125202967576807,PRUNED
94,94,-198104.0,2021-12-11 20:08:08.803161,2021-12-11 20:09:04.152115,0 days 00:00:55.348954,128,0.4,1.4516485297086102e-07,1.0,0.98,4.293122735023005e-05,0.8,20,128,0.3453043240659681,PRUNED
95,95,-350.0,2021-12-11 20:09:04.170067,2021-12-11 20:09:42.880524,0 days 00:00:38.710457,512,0.2,5.606971261294319e-07,0.9,0.99,0.013093510352941097,2.0,20,512,0.3073951592348041,PRUNED
96,96,-249384.0,2021-12-11 20:09:42.895485,2021-12-11 20:10:25.914418,0 days 00:00:43.018933,64,0.4,3.7974883845818226e-06,0.98,0.999,0.00015939649968398187,0.5,5,64,0.6631396382697171,PRUNED
97,97,-250000.0,2021-12-11 20:10:25.930376,2021-12-11 20:12:15.259943,0 days 00:01:49.329567,32,0.3,0.07655501995911307,0.92,0.95,0.05081226782696312,5.0,20,256,0.9511020692264733,PRUNED
98,98,-1368.0,2021-12-11 20:12:15.278892,2021-12-11 20:13:57.346882,0 days 00:01:42.067990,8,0.1,0.04035834828027276,0.8,0.9,0.005621360230983924,0.7,5,32,0.4556817899739094,PRUNED
99,99,-199458.0,2021-12-11 20:13:57.364834,2021-12-11 20:14:42.074246,0 days 00:00:44.709412,256,0.4,2.2436233617171778e-08,0.95,0.9999,0.15804673879831613,0.9,20,1024,0.7358590209047208,PRUNED
