,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
70,70,-250000.0,2021-12-14 15:16:51.590963,2021-12-14 15:21:02.589596,0 days 00:04:10.998633,512,0.3,2.237457804702611e-06,0.99,0.99,2.1556308985952213e-05,5.0,20,64,0.366836221052967,PRUNED
71,71,130.0,2021-12-14 15:21:02.604556,2021-12-14 16:18:22.414807,0 days 00:57:19.810251,8,0.3,1.559309942151872e-08,0.8,0.9,0.0003562954157790731,0.7,20,512,0.43622410794442984,COMPLETE
72,72,130.0,2021-12-14 16:18:22.445724,2021-12-14 17:15:28.382084,0 days 00:57:05.936360,8,0.3,1.5180547889404066e-08,0.8,0.9,0.0003082690124385318,0.7,20,512,0.45265962140311516,COMPLETE
73,73,130.0,2021-12-14 17:15:28.413002,2021-12-14 17:20:59.909321,0 days 00:05:31.496319,128,0.3,6.995360676735656e-08,0.8,0.99,0.0006043639060095265,0.7,20,256,0.2553018204402924,COMPLETE
74,74,-1850.0,2021-12-14 17:20:59.941236,2021-12-14 17:23:36.482521,0 days 00:02:36.541285,128,0.3,2.5089443563912864e-07,0.8,0.99,0.0001775199168208769,0.7,20,256,0.27413690605985114,PRUNED
75,75,-1860.0,2021-12-14 17:23:36.496484,2021-12-14 17:24:37.356696,0 days 00:01:00.860212,128,0.3,6.739619114966051e-08,0.92,0.95,0.0010032963025561677,5.0,5,512,0.20576892919485723,PRUNED
76,76,-1850.0,2021-12-14 17:24:37.370659,2021-12-14 17:50:08.162122,0 days 00:25:30.791463,8,0.2,4.385857733719264e-05,0.92,0.9,0.003290094251175581,5.0,20,512,0.39566417074221744,PRUNED
77,77,-1840.0,2021-12-14 17:50:08.175088,2021-12-14 18:16:09.714308,0 days 00:26:01.539220,8,0.3,4.558770779461332e-05,0.92,0.9,5.707845233134327e-05,5.0,20,32,0.4816554269079937,PRUNED
78,78,-250000.0,2021-12-14 18:16:09.729268,2021-12-14 18:42:34.575147,0 days 00:26:24.845879,8,0.3,9.807872241361328e-06,0.92,0.9,0.0007795222644691213,5.0,20,512,0.5288244653547929,PRUNED
79,79,-1850.0,2021-12-14 18:42:34.589110,2021-12-14 19:07:58.333423,0 days 00:25:23.744313,8,0.3,2.330153470546546e-05,0.92,0.9,0.00012539673303519835,0.3,20,512,0.4197561943294611,PRUNED
